자치구,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거
종로구,9,7,7,9,192,855,"1,183",944,"1,711","1,528"
중구,2,2,5,6,186,128,"1,642",863,"1,576","1,324"
용산구,5,3,6,6,230,186,"1,111",534,"1,617","1,327"
성동구,5,5,3,3,115,98,"1,016",565,"1,223","1,103"
광진구,2,2,4,4,255,224,"1,664",874,"1,676","1,407"
동대문구,10,8,6,5,161,142,"1,440",713,"1,784","1,597"
중랑구,10,9,5,6,183,153,"1,506",889,"2,022","1,724"
성북구,4,4,3,2,142,121,988,580,"1,430","1,240"
강북구,9,8,5,4,159,132,780,490,"1,817","1,625"
도봉구,-,-,2,2,82,87,861,379,"1,234","1,022"
노원구,4,3,3,3,169,148,"1,404",646,"2,163","1,781"
은평구,4,4,4,3,171,145,"1,371",756,"1,840","1,623"
서대문구,3,3,2,1,159,149,"1,077",524,"1,292","1,029"
마포구,9,8,4,3,348,287,"1,483",679,"1,844","1,557"
양천구,5,5,3,3,109,90,"1,517",718,"1,582","1,270"
강서구,10,9,6,5,265,222,"1,689","1,070","2,445","2,087"
구로구,6,6,5,5,197,142,"1,763","1,008","2,204","1,823"
금천구,4,4,7,6,117,93,999,553,"1,471","1,310"
영등포구,7,4,6,5,315,252,"2,188",953,"2,701","2,157"
동작구,1,1,1,2,226,121,"1,341",592,"1,631","1,370"
관악구,12,12,3,3,403,351,"2,229","1,137","2,614","2,355"
서초구,5,5,6,4,396,303,"2,021",960,"2,173","1,780"
강남구,6,5,14,11,708,627,"2,951","1,491","3,677","3,111"
송파구,6,6,13,17,287,235,"2,429","1,006","2,675","2,280"
강동구,3,3,15,14,188,167,"1,640",781,"1,942","1,697"
